,predictions,file_names
0,disgust,03-01-07-01-02-02-07.wav
1,disgust,03-01-07-01-02-02-16.wav
2,disgust,03-01-07-02-01-02-06.wav
3,neutral,03-01-03-01-02-02-22.wav
4,happy,03-01-01-01-02-01-01.wav
5,disgust,03-01-07-02-01-02-12.wav
6,happy,03-01-03-01-01-02-21.wav
7,neutral,03-01-01-01-01-01-04.wav
8,happy,03-01-03-02-01-02-21.wav
9,disgust,03-01-07-01-02-01-09.wav
10,happy,03-01-03-02-01-01-05.wav
11,disgust,03-01-07-01-01-02-13.wav
12,disgust,03-01-07-01-01-01-23.wav
13,happy,03-01-03-01-02-01-17.wav
14,disgust,03-01-07-01-02-02-01.wav
15,happy,03-01-03-02-02-02-06.wav
16,neutral,03-01-07-02-01-02-08.wav
17,disgust,03-01-07-02-02-01-03.wav
18,disgust,03-01-07-02-01-01-10.wav
19,happy,03-01-03-01-01-02-06.wav
20,disgust,03-01-03-01-01-02-09.wav
21,neutral,03-01-01-01-02-01-11.wav
22,happy,03-01-03-02-01-02-14.wav
23,happy,03-01-03-02-02-02-05.wav
24,disgust,03-01-03-01-01-01-04.wav
25,happy,03-01-01-01-01-01-06.wav
26,disgust,03-01-07-01-01-02-03.wav
27,disgust,03-01-01-01-01-01-20.wav
28,happy,03-01-03-01-01-01-01.wav
29,happy,03-01-03-01-01-01-05.wav
30,disgust,03-01-07-01-02-01-08.wav
31,happy,03-01-03-02-02-01-04.wav
32,disgust,03-01-07-02-01-02-23.wav
33,disgust,03-01-07-02-01-01-11.wav
34,disgust,03-01-03-02-02-01-17.wav
35,neutral,03-01-01-01-02-02-18.wav
36,disgust,03-01-07-02-01-02-13.wav
37,happy,03-01-03-02-01-01-22.wav
38,disgust,03-01-07-02-02-02-24.wav
39,happy,03-01-03-02-02-02-18.wav
40,disgust,03-01-03-01-02-02-19.wav
41,happy,03-01-03-01-02-01-23.wav
42,happy,03-01-03-01-02-02-14.wav
43,neutral,03-01-01-01-02-02-20.wav
44,happy,03-01-03-02-02-01-18.wav
45,happy,03-01-01-01-01-02-10.wav
46,neutral,03-01-01-01-02-01-09.wav
47,disgust,03-01-07-01-01-02-06.wav
48,disgust,03-01-07-02-02-01-15.wav
49,neutral,03-01-01-01-02-01-14.wav
50,neutral,03-01-01-01-01-01-19.wav
51,disgust,03-01-07-02-01-01-01.wav
52,disgust,03-01-07-01-02-01-01.wav
53,happy,03-01-03-01-01-01-11.wav
54,happy,03-01-07-02-01-02-18.wav
55,disgust,03-01-07-02-01-02-05.wav
56,happy,03-01-03-02-02-01-14.wav
57,disgust,03-01-07-02-01-02-20.wav
58,disgust,03-01-07-01-02-02-05.wav
59,happy,03-01-03-02-02-02-08.wav
60,disgust,03-01-07-02-02-01-17.wav
61,happy,03-01-03-02-01-01-06.wav
62,happy,03-01-03-01-02-01-04.wav
63,neutral,03-01-01-01-01-01-17.wav
64,disgust,03-01-07-02-02-02-21.wav
65,disgust,03-01-07-01-02-02-14.wav
66,happy,03-01-03-01-01-01-12.wav
67,happy,03-01-03-02-01-01-21.wav
68,disgust,03-01-01-01-02-02-10.wav
69,disgust,03-01-03-02-01-02-04.wav
70,happy,03-01-03-02-01-01-10.wav
71,happy,03-01-03-01-02-01-20.wav
72,happy,03-01-03-01-02-01-24.wav
73,disgust,03-01-07-01-02-01-12.wav
74,happy,03-01-07-01-02-02-18.wav
75,disgust,03-01-07-01-02-02-17.wav
76,disgust,03-01-07-02-01-01-05.wav
77,disgust,03-01-07-02-02-02-22.wav
78,disgust,03-01-07-02-02-02-16.wav
79,disgust,03-01-07-01-01-01-17.wav
80,disgust,03-01-07-02-02-02-03.wav
81,happy,03-01-01-01-01-02-01.wav
82,disgust,03-01-03-01-02-02-23.wav
83,neutral,03-01-01-01-02-02-07.wav
84,disgust,03-01-07-02-01-01-14.wav
85,happy,03-01-03-01-01-02-20.wav
86,neutral,03-01-01-01-01-02-09.wav
87,neutral,03-01-01-01-01-02-17.wav
88,neutral,03-01-01-01-02-02-02.wav
89,neutral,03-01-01-01-01-02-12.wav
90,disgust,03-01-07-01-01-02-11.wav
91,happy,03-01-03-01-02-01-07.wav
92,neutral,03-01-01-01-02-02-19.wav
93,happy,03-01-03-02-02-02-21.wav
94,happy,03-01-03-01-02-02-08.wav
95,disgust,03-01-07-01-02-01-06.wav
96,disgust,03-01-07-01-01-01-24.wav
97,disgust,03-01-03-02-02-02-11.wav
98,neutral,03-01-01-01-01-02-20.wav
99,happy,03-01-03-02-02-02-10.wav
100,happy,03-01-03-01-01-01-15.wav
101,happy,03-01-03-01-01-02-14.wav
102,neutral,03-01-01-01-01-01-15.wav
103,happy,03-01-03-02-01-02-06.wav
104,disgust,03-01-07-01-02-02-03.wav
105,neutral,03-01-01-01-01-02-14.wav
106,happy,03-01-01-01-02-02-01.wav
107,happy,03-01-03-01-01-02-04.wav
108,neutral,03-01-01-01-02-01-23.wav
109,disgust,03-01-07-02-02-02-04.wav
110,happy,03-01-03-01-02-02-06.wav
111,happy,03-01-03-02-01-02-09.wav
112,disgust,03-01-07-02-02-02-01.wav
113,disgust,03-01-07-02-01-02-04.wav
114,disgust,03-01-01-01-01-01-23.wav
115,happy,03-01-03-02-01-02-19.wav
116,happy,03-01-03-01-01-01-03.wav
117,disgust,03-01-07-01-01-02-01.wav
118,happy,03-01-01-01-02-02-04.wav
119,happy,03-01-03-02-01-01-02.wav
120,happy,03-01-03-02-01-01-17.wav
121,disgust,03-01-01-01-02-02-11.wav
122,happy,03-01-03-02-02-02-09.wav
123,happy,03-01-07-02-02-01-11.wav
124,happy,03-01-03-02-01-02-18.wav
125,happy,03-01-03-01-02-01-13.wav
126,disgust,03-01-07-01-01-01-06.wav
127,disgust,03-01-01-01-02-01-04.wav
128,disgust,03-01-03-01-02-02-09.wav
129,disgust,03-01-07-02-02-01-04.wav
130,neutral,03-01-03-01-01-01-09.wav
131,neutral,03-01-01-01-01-02-22.wav
132,disgust,03-01-07-02-01-01-20.wav
133,neutral,03-01-01-01-02-01-22.wav
134,disgust,03-01-07-02-02-01-20.wav
135,neutral,03-01-01-01-02-02-06.wav
136,happy,03-01-03-02-01-02-23.wav
137,neutral,03-01-01-01-02-01-07.wav
138,happy,03-01-03-01-02-01-08.wav
139,happy,03-01-03-01-02-02-15.wav
140,happy,03-01-03-01-01-01-16.wav
141,disgust,03-01-07-02-02-01-02.wav
142,disgust,03-01-07-02-02-01-21.wav
143,neutral,03-01-01-01-01-02-03.wav
144,happy,03-01-03-01-02-02-01.wav
145,disgust,03-01-01-01-02-01-16.wav
146,neutral,03-01-01-01-01-01-08.wav
147,neutral,03-01-01-01-02-01-08.wav
148,happy,03-01-03-02-01-02-17.wav
149,happy,03-01-03-02-02-02-02.wav
150,happy,03-01-03-01-02-01-06.wav
151,disgust,03-01-07-01-01-01-07.wav
152,neutral,03-01-01-01-01-01-22.wav
153,disgust,03-01-07-01-02-01-17.wav
154,neutral,03-01-01-01-01-01-11.wav
155,disgust,03-01-07-01-01-01-08.wav
156,happy,03-01-03-02-02-01-06.wav
157,disgust,03-01-07-01-01-02-24.wav
158,happy,03-01-03-02-01-02-02.wav
